,lon,lat,alt,time
0,-73.57892163097858,45.50698762759566,75.5999984741211,2019-09-10 18:50:45+00:00
1,-73.57892322354019,45.50695527344942,75.80000305175781,2019-09-10 18:50:46+00:00
2,-73.57889262959361,45.50696457736194,75.4000015258789,2019-09-10 18:50:47+00:00
3,-73.57884527184069,45.50691998563707,75.19999694824219,2019-09-10 18:50:48+00:00
4,-73.57874561101198,45.50685804337263,74.5999984741211,2019-09-10 18:50:49+00:00
5,-73.57866397127509,45.50687656737864,73.4000015258789,2019-09-10 18:50:50+00:00
6,-73.57857839204371,45.50680213607848,72.4000015258789,2019-09-10 18:50:51+00:00
7,-73.57822442427278,45.50679048523307,68.4000015258789,2019-09-10 18:50:52+00:00
8,-73.57826088555157,45.506692584604025,69.5999984741211,2019-09-10 18:50:53+00:00
9,-73.57818779535592,45.50665897317231,69.0,2019-09-10 18:50:54+00:00
10,-73.57812350615859,45.50663257017732,68.4000015258789,2019-09-10 18:50:55+00:00
11,-73.57805578038096,45.50659719854593,67.5999984741211,2019-09-10 18:50:56+00:00
12,-73.57798377983272,45.50656082108617,66.80000305175781,2019-09-10 18:50:57+00:00
13,-73.57790163718164,45.50652511417866,66.0,2019-09-10 18:50:58+00:00
14,-73.57781547121704,45.506487898528576,65.19999694824219,2019-09-10 18:50:59+00:00
15,-73.5777294728905,45.50644607283175,64.5999984741211,2019-09-10 18:51:00+00:00
16,-73.57764707878232,45.50640542060137,64.0,2019-09-10 18:51:01+00:00
17,-73.57755756005645,45.50636250525713,63.400001525878906,2019-09-10 18:51:02+00:00
18,-73.57745764777064,45.506322272121906,63.20000076293945,2019-09-10 18:51:03+00:00
19,-73.57736879959702,45.50627709366381,63.20000076293945,2019-09-10 18:51:04+00:00
20,-73.5772833880037,45.5062345135957,62.599998474121094,2019-09-10 18:51:05+00:00
21,-73.57719420455396,45.50619344227016,62.400001525878906,2019-09-10 18:51:06+00:00
22,-73.57710326090455,45.50615446642041,62.20000076293945,2019-09-10 18:51:07+00:00
23,-73.57701634056866,45.50611867569387,62.0,2019-09-10 18:51:08+00:00
24,-73.57693243771791,45.506092607975006,61.79999923706055,2019-09-10 18:51:09+00:00
25,-73.57685683295131,45.506074503064156,61.599998474121094,2019-09-10 18:51:10+00:00
26,-73.57677494175732,45.50606804899871,61.20000076293945,2019-09-10 18:51:11+00:00
27,-73.57669145800173,45.50607165321708,61.0,2019-09-10 18:51:12+00:00
28,-73.57662188820541,45.50608883611858,60.599998474121094,2019-09-10 18:51:13+00:00
29,-73.5765777155757,45.5061325058341,60.599998474121094,2019-09-10 18:51:14+00:00
30,-73.57653127983212,45.50617592409253,60.400001525878906,2019-09-10 18:51:15+00:00
31,-73.57648467645049,45.50621976144612,60.20000076293945,2019-09-10 18:51:16+00:00
32,-73.57643907889724,45.50626468844712,60.0,2019-09-10 18:51:17+00:00
33,-73.57638627290726,45.50629310309887,59.79999923706055,2019-09-10 18:51:18+00:00
34,-73.57632759958506,45.50629117526114,59.599998474121094,2019-09-10 18:51:19+00:00
35,-73.57626833952963,45.50626812502742,59.400001525878906,2019-09-10 18:51:20+00:00
36,-73.57620874419808,45.506238704547286,59.20000076293945,2019-09-10 18:51:21+00:00
37,-73.57614051550627,45.50620182417333,59.0,2019-09-10 18:51:22+00:00
38,-73.57606667093933,45.506164859980345,58.599998474121094,2019-09-10 18:51:23+00:00
39,-73.57598528265953,45.50612303428352,58.400001525878906,2019-09-10 18:51:24+00:00
40,-73.57590230181813,45.5060843937099,58.20000076293945,2019-09-10 18:51:25+00:00
41,-73.57581873424351,45.5060447473079,58.20000076293945,2019-09-10 18:51:26+00:00
42,-73.57573659159243,45.506004597991705,58.400001525878906,2019-09-10 18:51:27+00:00
43,-73.57565763406456,45.5059652030468,58.20000076293945,2019-09-10 18:51:28+00:00
44,-73.57557096518576,45.50592656247318,58.0,2019-09-10 18:51:29+00:00
45,-73.57547817751765,45.505888843908906,57.599998474121094,2019-09-10 18:51:30+00:00
46,-73.57538966462016,45.50584450364113,57.20000076293945,2019-09-10 18:51:31+00:00
47,-73.57530090026557,45.50580150447786,57.0,2019-09-10 18:51:32+00:00
