,lon,lat,alt,time
0,-73.54596633464098,45.543316723778844,20.0,2019-07-02 13:10:58+00:00
1,-73.54595812037587,45.543227372691035,20.0,2019-07-02 13:10:59+00:00
2,-73.54605107568204,45.54319912567735,20.0,2019-07-02 13:11:00+00:00
3,-73.54606331326067,45.543137937784195,20.0,2019-07-02 13:11:01+00:00
4,-73.54611192829907,45.543088652193546,20.0,2019-07-02 13:11:02+00:00
5,-73.54616473428905,45.543037774041295,20.200000762939453,2019-07-02 13:11:03+00:00
6,-73.5462071467191,45.54297901690006,20.200000762939453,2019-07-02 13:11:04+00:00
7,-73.5462568514049,45.54291715845466,20.399999618530273,2019-07-02 13:11:05+00:00
8,-73.54630471207201,45.54285228252411,20.600000381469727,2019-07-02 13:11:06+00:00
9,-73.54635617695749,45.54278648458421,20.799999237060547,2019-07-02 13:11:07+00:00
10,-73.5464090667665,45.54272236302495,21.0,2019-07-02 13:11:08+00:00
11,-73.54646396823227,45.54265916347504,21.0,2019-07-02 13:11:09+00:00
12,-73.5465195402503,45.54259596392512,21.0,2019-07-02 13:11:10+00:00
13,-73.54656924493611,45.542530082166195,21.0,2019-07-02 13:11:11+00:00
14,-73.54661677032709,45.54246453568339,21.0,2019-07-02 13:11:12+00:00
15,-73.54666136205196,45.5423984862864,21.0,2019-07-02 13:11:13+00:00
16,-73.54670360684395,45.542333191260695,21.0,2019-07-02 13:11:14+00:00
17,-73.54674777947366,45.54226982407272,21.0,2019-07-02 13:11:15+00:00
18,-73.54679538868368,45.54220821708441,21.0,2019-07-02 13:11:16+00:00
19,-73.54684132151306,45.54214426316321,21.0,2019-07-02 13:11:17+00:00
20,-73.54687853716314,45.54208131507039,21.0,2019-07-02 13:11:18+00:00
21,-73.54691374115646,45.54202104918659,21.0,2019-07-02 13:11:19+00:00
22,-73.5469492804259,45.5419650580734,21.0,2019-07-02 13:11:20+00:00
23,-73.54713711887598,45.541803454980254,21.0,2019-07-02 13:11:28+00:00
24,-73.5471496079117,45.54179004393518,21.0,2019-07-02 13:11:29+00:00
25,-73.54716553352773,45.5417649820447,21.0,2019-07-02 13:11:30+00:00
26,-73.54719470255077,45.541731119155884,21.0,2019-07-02 13:11:31+00:00
27,-73.54722219519317,45.541688622906804,21.0,2019-07-02 13:11:32+00:00
28,-73.54725136421621,45.54164294153452,21.0,2019-07-02 13:11:33+00:00
29,-73.54728262871504,45.54159566760063,21.0,2019-07-02 13:11:34+00:00
30,-73.54730626568198,45.541543532162905,21.0,2019-07-02 13:11:35+00:00
31,-73.54733442887664,45.541490809991956,21.0,2019-07-02 13:11:36+00:00
32,-73.54736569337547,45.54143590852618,21.0,2019-07-02 13:11:37+00:00
33,-73.54739796370268,45.54137924686074,21.200000762939453,2019-07-02 13:11:38+00:00
34,-73.547433167696,45.541321663185954,21.399999618530273,2019-07-02 13:11:39+00:00
35,-73.54746510274708,45.541261648759246,21.600000381469727,2019-07-02 13:11:40+00:00
36,-73.54748027399182,45.54119484499097,21.799999237060547,2019-07-02 13:11:41+00:00
37,-73.54751137085259,45.54113667458296,22.0,2019-07-02 13:11:42+00:00
38,-73.54753919877112,45.54107808507979,22.0,2019-07-02 13:11:43+00:00
39,-73.5475780069828,45.54102930240333,22.0,2019-07-02 13:11:44+00:00
40,-73.54761430062354,45.540981609374285,22.0,2019-07-02 13:11:45+00:00
41,-73.54765545576811,45.54093358106911,22.0,2019-07-02 13:11:46+00:00
42,-73.54769158177078,45.540882367640734,22.0,2019-07-02 13:11:47+00:00
43,-73.54773038998246,45.540828723460436,22.0,2019-07-02 13:11:48+00:00
44,-73.54776551015675,45.54077072069049,22.0,2019-07-02 13:11:49+00:00
45,-73.54779786430299,45.540712382644415,22.0,2019-07-02 13:11:50+00:00
46,-73.54783608578146,45.540654212236404,22.0,2019-07-02 13:11:51+00:00
47,-73.54787782765925,45.54059503600001,22.0,2019-07-02 13:11:52+00:00
48,-73.54792258702219,45.54053485393524,22.0,2019-07-02 13:11:53+00:00
49,-73.54796642437577,45.54047433659434,22.0,2019-07-02 13:11:54+00:00
50,-73.54800498113036,45.54041122086346,22.0,2019-07-02 13:11:55+00:00
51,-73.54803850874305,45.54034458473325,22.0,2019-07-02 13:11:56+00:00
52,-73.54807480238378,45.54027576930821,22.0,2019-07-02 13:11:57+00:00
53,-73.54811327531934,45.540211983025074,22.399999618530273,2019-07-02 13:11:58+00:00
54,-73.54816306382418,45.54015347734094,22.600000381469727,2019-07-02 13:11:59+00:00
55,-73.54820279404521,45.54009363055229,22.799999237060547,2019-07-02 13:12:00+00:00
56,-73.54824084788561,45.54003152064979,23.0,2019-07-02 13:12:01+00:00
57,-73.5482846852392,45.53996857255697,23.0,2019-07-02 13:12:02+00:00
58,-73.54832693003118,45.53990554064512,23.0,2019-07-02 13:12:03+00:00
59,-73.54836666025221,45.539842089638114,23.0,2019-07-02 13:12:04+00:00
60,-73.54839733801782,45.53977302275598,23.0,2019-07-02 13:12:05+00:00
61,-73.54843245819211,45.539708230644464,22.799999237060547,2019-07-02 13:12:06+00:00
62,-73.54847135022283,45.5396425165236,22.600000381469727,2019-07-02 13:12:07+00:00
63,-73.54850118979812,45.53957085125148,22.399999618530273,2019-07-02 13:12:08+00:00
64,-73.54854284785688,45.539499185979366,22.200000762939453,2019-07-02 13:12:09+00:00
65,-73.54858685284853,45.53942508995533,22.0,2019-07-02 13:12:10+00:00
66,-73.5486298520118,45.539345713332295,22.0,2019-07-02 13:12:11+00:00
67,-73.54867050424218,45.539259631186724,22.0,2019-07-02 13:12:12+00:00
68,-73.54872808791697,45.53917589597404,22.0,2019-07-02 13:12:13+00:00
69,-73.54877980425954,45.53908369503915,22.0,2019-07-02 13:12:14+00:00
70,-73.54883118532598,45.53899166174233,22.0,2019-07-02 13:12:15+00:00
71,-73.54888390749693,45.53890524432063,22.0,2019-07-02 13:12:16+00:00
72,-73.54893956333399,45.538822850212455,22.0,2019-07-02 13:12:17+00:00
73,-73.54899446479976,45.53873970173299,22.0,2019-07-02 13:12:18+00:00
74,-73.54904877953231,45.53865311667323,22.0,2019-07-02 13:12:19+00:00
75,-73.54911952279508,45.53855739533901,22.0,2019-07-02 13:12:20+00:00
76,-73.54916838929057,45.53847567178309,22.0,2019-07-02 13:12:21+00:00
77,-73.54922689497471,45.53839319385588,22.0,2019-07-02 13:12:22+00:00
78,-73.54927701875567,45.538317169994116,22.0,2019-07-02 13:12:23+00:00
79,-73.54932035319507,45.53824148140848,22.0,2019-07-02 13:12:24+00:00
80,-73.54936276562512,45.53816453553736,22.0,2019-07-02 13:12:25+00:00
81,-73.54940542951226,45.53809395991266,22.0,2019-07-02 13:12:26+00:00
82,-73.54944423772395,45.53802656941116,22.0,2019-07-02 13:12:27+00:00
83,-73.54948807507753,45.53795984946191,22.0,2019-07-02 13:12:28+00:00
84,-73.54953174479306,45.537893967702985,22.0,2019-07-02 13:12:29+00:00
85,-73.54957776144147,45.53783076815307,22.0,2019-07-02 13:12:30+00:00
86,-73.54961673729122,45.53776505403221,22.0,2019-07-02 13:12:31+00:00
87,-73.54963744059205,45.5376912932843,22.0,2019-07-02 13:12:32+00:00
88,-73.54965604841709,45.537615520879626,22.0,2019-07-02 13:12:33+00:00
89,-73.54969661682844,45.53754813037813,22.0,2019-07-02 13:12:34+00:00
90,-73.54974439367652,45.53748216480017,22.0,2019-07-02 13:12:35+00:00
91,-73.5497837048024,45.53741293027997,22.0,2019-07-02 13:12:36+00:00
92,-73.54982083663344,45.53734394721687,22.0,2019-07-02 13:12:37+00:00
93,-73.54983877390623,45.53726641461253,22.0,2019-07-02 13:12:38+00:00
94,-73.54988738894463,45.53719877265394,21.799999237060547,2019-07-02 13:12:39+00:00
95,-73.54992519132793,45.537128364667296,21.600000381469727,2019-07-02 13:12:40+00:00
96,-73.5499663464725,45.53705954924226,21.399999618530273,2019-07-02 13:12:41+00:00
97,-73.55001353658736,45.53699232637882,21.0,2019-07-02 13:12:42+00:00
98,-73.55006156489253,45.536928959190845,21.0,2019-07-02 13:12:43+00:00
99,-73.550118310377,45.53686366416514,21.0,2019-07-02 13:12:44+00:00
