,lon,lat,alt,time
0,-73.5448513738811,45.54482739418745,20.0,2019-07-07 11:43:36+00:00
1,-73.5449325107038,45.544791016727686,20.0,2019-07-07 11:43:37+00:00
2,-73.54496779851615,45.544730331748724,20.0,2019-07-07 11:43:38+00:00
3,-73.54500266723335,45.54466855712235,20.0,2019-07-07 11:43:39+00:00
4,-73.54503946378827,45.5446073692292,20.0,2019-07-07 11:43:40+00:00
5,-73.5450831335038,45.54454986937344,20.0,2019-07-07 11:43:41+00:00
6,-73.54512470774353,45.544489519670606,20.0,2019-07-07 11:43:42+00:00
7,-73.54516779072583,45.54442707449198,20.0,2019-07-07 11:43:43+00:00
8,-73.54520542547107,45.54436085745692,20.0,2019-07-07 11:43:44+00:00
9,-73.54525052011013,45.5443000048399,20.0,2019-07-07 11:43:45+00:00
10,-73.54528631083667,45.54423462599516,20.0,2019-07-07 11:43:46+00:00
11,-73.54532067663968,45.54416882805526,20.0,2019-07-07 11:43:47+00:00
12,-73.54535613209009,45.544101940467954,20.200000762939453,2019-07-07 11:43:48+00:00
13,-73.54538748040795,45.54403379559517,20.399999618530273,2019-07-07 11:43:49+00:00
14,-73.54541279375553,45.543963722884655,20.399999618530273,2019-07-07 11:43:50+00:00
15,-73.54544942267239,45.54390052333474,20.399999618530273,2019-07-07 11:43:51+00:00
16,-73.5454798489809,45.54383397102356,20.399999618530273,2019-07-07 11:43:52+00:00
17,-73.5455614887178,45.543835144490004,20.600000381469727,2019-07-07 11:43:53+00:00
18,-73.54560071602464,45.54377253167331,20.399999618530273,2019-07-07 11:43:54+00:00
19,-73.54564153589308,45.5437111761421,20.200000762939453,2019-07-07 11:43:55+00:00
20,-73.54567590169609,45.54364671930671,20.0,2019-07-07 11:43:56+00:00
21,-73.54570699855685,45.54358184337616,20.0,2019-07-07 11:43:57+00:00
22,-73.54573742486537,45.54351621307433,20.0,2019-07-07 11:43:58+00:00
23,-73.54576961137354,45.54344940930605,20.0,2019-07-07 11:43:59+00:00
24,-73.5458028037101,45.543381264433265,20.0,2019-07-07 11:44:00+00:00
25,-73.54582929052413,45.543309431523085,20.0,2019-07-07 11:44:01+00:00
26,-73.54585401713848,45.54323508404195,20.0,2019-07-07 11:44:02+00:00
27,-73.54587740264833,45.5431617423892,20.0,2019-07-07 11:44:03+00:00
28,-73.5459153726697,45.54309845902026,20.0,2019-07-07 11:44:04+00:00
29,-73.5459634847939,45.54304087534547,20.0,2019-07-07 11:44:05+00:00
30,-73.54600924998522,45.54297633469105,20.0,2019-07-07 11:44:06+00:00
31,-73.54604898020625,45.542906261980534,20.0,2019-07-07 11:44:07+00:00
32,-73.54608049616218,45.54283442907035,20.0,2019-07-07 11:44:08+00:00
33,-73.5461157001555,45.54276376962662,20.0,2019-07-07 11:44:09+00:00
34,-73.54616163298488,45.542699145153165,20.0,2019-07-07 11:44:10+00:00
35,-73.54620614089072,45.54263250902295,20.200000762939453,2019-07-07 11:44:11+00:00
36,-73.5462504811585,45.5425676330924,20.399999618530273,2019-07-07 11:44:12+00:00
37,-73.54631133377552,45.542524717748165,20.600000381469727,2019-07-07 11:44:13+00:00
38,-73.54635927826166,45.54246394895017,20.799999237060547,2019-07-07 11:44:14+00:00
39,-73.54640286415815,45.54240167140961,21.0,2019-07-07 11:44:15+00:00
40,-73.54646204039454,45.54237979464233,21.0,2019-07-07 11:44:16+00:00
41,-73.54650118388236,45.542316595092416,21.0,2019-07-07 11:44:17+00:00
42,-73.54654007591307,45.5422518029809,21.0,2019-07-07 11:44:18+00:00
43,-73.54657779447734,45.54218642413616,21.0,2019-07-07 11:44:19+00:00
44,-73.54661400429904,45.542121045291424,21.0,2019-07-07 11:44:20+00:00
45,-73.54664962738752,45.54205399006605,21.0,2019-07-07 11:44:21+00:00
46,-73.54668969288468,45.54198785685003,21.0,2019-07-07 11:44:22+00:00
47,-73.54673621244729,45.54192482493818,21.0,2019-07-07 11:44:23+00:00
48,-73.54677074588835,45.54185542277992,21.0,2019-07-07 11:44:24+00:00
49,-73.54681148193777,45.54178912192583,21.0,2019-07-07 11:44:25+00:00
50,-73.54685531929135,45.541725838556886,21.0,2019-07-07 11:44:26+00:00
51,-73.54690250940621,45.54166557267308,21.0,2019-07-07 11:44:27+00:00
52,-73.54694668203592,45.54160790517926,21.0,2019-07-07 11:44:28+00:00
53,-73.5469825565815,45.541548980399966,21.0,2019-07-07 11:44:29+00:00
54,-73.54702287353575,45.54149433039129,21.0,2019-07-07 11:44:30+00:00
