Activity_Type,Date,Favorite,Title,Distance,Calories,Time,Avg_HR,Max_HR,Avg Run Cadence,Max Run Cadence,Avg_Pace,Best_Pace,Elev_Gain,Elev_Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Walking,2019-08-11 16:03:55,false,Hasle Walking,4.06,522,01:05:13,121,172,110,248,3.7,4:16,27,571,0.57,0,0,0,0,0,0:00,0,0:00,No,00:57.44,5,0
Walking,2019-08-11 12:15:35,false,Hasle Walking,3.51,620,01:05:48,128,184,102,204,3.2,4:09,555,51,0.53,0,0,0,0,0,0:00,0,0:00,No,10:00.94,4,0
Cycling,2019-07-09 18:51:29,false,Montreal Cycling,4.52,178,00:11:00,157,176,--,--,24.6,38.7,0,51,0,0,0,0,0,0,0:00,0,0:00,No,00:00.00,1,0
Cycling,2019-07-09 12:06:23,false,Montreal Cycling,11.42,394,00:26:00,152,183,--,--,26.4,47.3,124,124,0,0,0,0,0,0,0:00,0,0:00,No,03:13.07,3,0
Cycling,2019-07-09 08:54:12,false,Montreal Cycling,5.64,183,00:13:00,141,176,--,--,26,38.1,56,2,0,0,0,0,0,0,0:00,0,0:00,No,01:36.65,2,0
Cycling,2019-07-07 07:43:36,false,Montreal Cycling,43.97,1305,01:55:35,146,178,--,--,22.8,55.4,606,606,0,0,0,0,0,0,0:00,0,0:00,No,08:29.85,9,0
Cycling,2019-07-04 17:27:38,false,Montreal Cycling,3.76,134,00:10:54,131,161,--,--,20.7,29.9,32,7,0,0,0,0,0,0,0:00,0,0:00,No,00:00.00,1,0
Cycling,2019-07-04 14:47:06,false,Montreal Cycling,5.95,205,00:13:32,148,175,--,--,26.4,46.5,2,57,0,0,0,0,0,0,0:00,0,0:00,No,02:18.20,2,0
Cycling,2019-07-04 13:59:16,false,Montreal Cycling,5.85,182,00:12:39,143,159,--,--,27.7,51.5,52,102,0,0,0,0,0,0,0:00,0,0:00,No,02:23.06,2,0
Cycling,2019-07-04 10:55:43,false,Montreal Cycling,7.56,340,00:21:42,156,179,--,--,20.9,45.2,170,106,0,0,0,0,0,0,0:00,0,0:00,No,05:57.15,2,0
